source,post_id,author,context,text,coin_symbol,influencer_handle,engagement_score,sentiment_compound,created_at
twitter,tw_2403_0001,CryptoKing,(doge OR pepe OR shib OR bonk OR wif) lang:en,PEPE watch exchange inflow risk.,PEPE,CryptoKing,597,-0.389,2026-03-24T00:03:00
twitter,tw_2403_0002,DegenDesk,social spike watch,SHIB momentum still healthy despite volatility.,SHIB,DegenDesk,1037,0.45,2026-03-24T00:06:00
twitter,tw_2403_0003,AltcoinNora,social spike watch,SHIB rotation into meme basket continues.,SHIB,AltcoinNora,621,-0.339,2026-03-24T00:09:00
twitter,tw_2403_0004,WifSignals,social spike watch,SHIB buyers defending support aggressively.,SHIB,WifSignals,1203,-0.03,2026-03-24T00:12:00
twitter,tw_2403_0005,FrogCycle,social spike watch,DOGE volume confirms trend continuation.,DOGE,FrogCycle,448,0.151,2026-03-24T00:15:00
twitter,tw_2403_0006,WifSignals,(doge OR pepe OR shib OR bonk OR wif) lang:en,DOGE momentum still healthy despite volatility.,DOGE,WifSignals,482,0.358,2026-03-24T00:18:00
twitter,tw_2403_0007,DegenDesk,social spike watch,DOGE range chop with selective strength.,DOGE,DegenDesk,1284,-0.14,2026-03-24T00:21:00
twitter,tw_2403_0008,MemePulse,meme momentum,BONK rotation into meme basket continues.,BONK,MemePulse,598,0.751,2026-03-24T00:24:00
twitter,tw_2403_0009,AltcoinNora,(doge OR pepe OR shib OR bonk OR wif) lang:en,WIF watch exchange inflow risk.,WIF,AltcoinNora,1167,0.147,2026-03-24T00:27:00
twitter,tw_2403_0010,AltcoinNora,(doge OR pepe OR shib OR bonk OR wif) lang:en,SHIB rotation into meme basket continues.,SHIB,AltcoinNora,672,-0.102,2026-03-24T00:30:00
twitter,tw_2403_0011,FrogCycle,meme momentum,SHIB volume confirms trend continuation.,SHIB,FrogCycle,921,-0.409,2026-03-24T00:33:00
twitter,tw_2403_0012,FrogCycle,meme momentum,DOGE sentiment cooling after leverage spike.,DOGE,FrogCycle,513,-0.086,2026-03-24T00:36:00
twitter,tw_2403_0013,MemeRiskLab,(doge OR pepe OR shib OR bonk OR wif) lang:en,PEPE sentiment cooling after leverage spike.,PEPE,MemeRiskLab,1468,0.293,2026-03-24T00:39:00
twitter,tw_2403_0014,CryptoKing,social spike watch,PEPE momentum still healthy despite volatility.,PEPE,CryptoKing,1059,-0.031,2026-03-24T00:42:00
twitter,tw_2403_0015,CryptoKing,social spike watch,WIF momentum still healthy despite volatility.,WIF,CryptoKing,823,-0.341,2026-03-24T00:45:00
twitter,tw_2403_0016,WhaleScope,meme momentum,DOGE new wave of retail mentions.,DOGE,WhaleScope,657,0.525,2026-03-24T00:48:00
twitter,tw_2403_0017,FrogCycle,(doge OR pepe OR shib OR bonk OR wif) lang:en,PEPE range chop with selective strength.,PEPE,FrogCycle,557,-0.151,2026-03-24T00:51:00
twitter,tw_2403_0018,MemePulse,social spike watch,SHIB strong breakout with heavy engagement.,SHIB,MemePulse,1338,0.032,2026-03-24T00:54:00
twitter,tw_2403_0019,ShibIntel,(doge OR pepe OR shib OR bonk OR wif) lang:en,DOGE rotation into meme basket continues.,DOGE,ShibIntel,1157,0.669,2026-03-24T00:57:00
twitter,tw_2403_0020,WifSignals,(doge OR pepe OR shib OR bonk OR wif) lang:en,BONK rotation into meme basket continues.,BONK,WifSignals,737,0.326,2026-03-24T01:00:00
twitter,tw_2403_0021,BonkRadar,(doge OR pepe OR shib OR bonk OR wif) lang:en,DOGE momentum still healthy despite volatility.,DOGE,BonkRadar,358,0.063,2026-03-24T01:03:00
